Place of interest,Place address,Type of place,BiciMAD Station,Station Location,distance
Testigos Cristianos de Jehová. Calle Martín de Vargas,CALLE MARTIN DE VARGAS 26 PLANTA BAJA B derecha,Testigos Cristianos de Jehová. Calle Martín de Vargas,47 - Embajadores 1,Glorieta de Embajadores nº 6,287.9827843018348
Testigos Cristianos de Jehová. Calle Puerto de Pozazal,CALLE PUERTO DE POZAZAL 1 C,Testigos Cristianos de Jehová. Calle Puerto de Pozazal,221 - Pavones,Calle Hacienda de Pavones nº 342,2412.3892026909207
Testigos Cristianos de Jehová. Calle San Moisés,CALLE SAN MOISÉS 39 PLANTA BAJA B,Testigos Cristianos de Jehová. Calle San Moisés,227 - Concordia,Calle Arroyo del Olivar nº 6,1308.834521318807
Testigos Cristianos de Jehová. Calle Santa Ana Baja,CALLE SANTA ANA BAJA 48 PLANTA BAJO C,Testigos Cristianos de Jehová. Calle Santa Ana Baja,217 - Pedro Rico,Calle Pedro Rico nº 4,1810.7886548631875
Testigos Cristianos de Jehová. Calle Sierra Salvada,CALLE SIERRA SALVADA 24 LOCAL 5,Testigos Cristianos de Jehová. Calle Sierra Salvada,221 - Pavones,Calle Hacienda de Pavones nº 342,3471.9258020885745
Testigos Cristianos de Jehová. Calle Sierra del Sabiñar,CALLE SIERRA DE SABI&amp;Ntilde;AR 4 PLANTA BAJO LOCAL 3 C,Testigos Cristianos de Jehová. Calle Sierra del Sabiñar,221 - Pavones,Calle Hacienda de Pavones nº 342,3471.9258020885745
Testigos Cristianos de Jehová. Calle Tembleque,CALLE TEMBLEQUE 64 PLANTA BAJA,Testigos Cristianos de Jehová. Calle Tembleque,224 - Caramuel,Calle Caramuel nº 51,3869.020604762605
Testigos Cristianos de Jehová. Calle Venancio Martín,CALLE VENANCIO MARTIN 19 PLANTA BAJA 2,Testigos Cristianos de Jehová. Calle Venancio Martín,226 - Sierra Toledana,Camino de Valderribas nº 94,140.92716910867836
Testigos Cristianos de Jehová. Calle de Los Gallegos,CALLE GALLEGOS 2,Testigos Cristianos de Jehová. Calle de Los Gallegos,221 - Pavones,Calle Hacienda de Pavones nº 342,3007.0350733692867
Testigos Cristianos de Jehová. Calle Ámbar,CALLE AMBAR 3 PLANTA BAJO IZQUIERDA,Testigos Cristianos de Jehová. Calle Ámbar,221 - Pavones,Calle Hacienda de Pavones nº 342,3471.9258020885745
The Korea Assemblies of God Full Gospel,CALLE HERNANI 34 LOCAL 4,The Korea Assemblies of God Full Gospel,133 - Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33,126.67687224977678
